n. unitÃ ,tipologia,consistenza,ubicazione,concessionari ,durata anni,progetto
20,locale commerciale,36 mq,via cenisio,associazione di volontariato aldo perini onlus p.zza pompeo castelli 1020156 milano,5,progetto sociale
21,abitazione,4 vani,via ceriani,"consorzio farsi prossimo onlusvia san bernadino, 42011 milano",in corso proroga,progetto sociale
22,"negozio, magazzino e cantina di pertinenza del negozio",63 mq,via ceriani,associazione il balzovle etiopia 620146 milano,5,progetto sociale
23,"negozio, magazzino e cantina di pertinenza del negozio",18 mq,via ceriani,associazione il balzovle etiopia 620146 milano,5,progetto sociale
24,"negozio, magazzino e cantina di pertinenza del negozio",19 mq,via ceriani,associazione il balzovle etiopia 620146 milano,5,progetto sociale
25,abitazione,"1,5 vani",via clusone,associazione di promozione sociale jointvia giovanola 25/c20142 milano,10,progetto sociale
26,abitazioni di tipo economico,"5,5 vani",via concilio vaticano ii,fondazione don carlo gnocchi onluspiazzale r. morandi 620121 milano,10,progetto sociale
27,villetta a schiera e box di pertinenza,11 vani,via del mare,societ cooperativa sociale la stradavia giovanni battista piazzetta 220139 milano,10,progetto sociale
28,villetta a schiera e box di pertinenza,22 mq,via del mare,societ cooperativa sociale la stradavia giovanni battista piazzetta 220139 milano,10,progetto sociale
29,villetta a schiera doppia e box di pertinenza,"15,5 vani",via del mare,associazione comunit s. patrignano libera associazione onlusvia san patrignano 5347853 coriano rn,10,progetto sociale
30,villetta a schiera doppia e box di pertinenza,16 mq,via del mare,associazione comunit s. patrignano libera associazione onlusvia san patrignano 5347853 coriano rn,10,progetto sociale
31,villetta a schiera e box di pertinenza,8 vani,via del mare,associazione comunitpapa giovanni xxiiivia mameli 147900 rimini,10,progetto sociale
32,villetta a schiera e box di pertinenza,18 mq,via del mare,associazione comunitpapa giovanni xxiiivia mameli 147900 rimini,10,progetto sociale
33,abitazione,"3,5 vani",via della francesca pier,gestione direttacomune di milanosettore residenzialit,,progetto sociale
34,abitazione,"3,5 vani",via della pila lanfranco,erika associazione per la lotta ai disturbi del comportamentop.zza ospedale maggiore 320162 milanoc/o centro per la cura dei disturbi alimentari dellazienda ospedaliera niguarda c granda,5,progetto sociale
35,magazzino,45 mq,via dolomiti,fondazione casa della carit angelo abriani onlusvia brambilla 8/1020128 milano,10,progetto sociale
36,abitazione,"2,5 vani",via farini,associazione gruppo di betania onlusvia ettore ciccotti 920161 milano,5,progetto sociale
37,abitazione,"2,5 vani",via farini,fondazione somaschi onlus p.zza xxv aprile 220121 milano,6,progetto sociale
38,abitazione,3 vani,via farini,associazione saman onlusvia bolzano 2620127 milano,10,progetto sociale
39,abitazione,"1,5 vani",via folli,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,10,progetto sociale
40,locale commerciale,46 mq,via f.lli cervi,associazione centro di aiuto alla vita mangiagalli onlusvia della commenda 1220122 milano,10,progetto sociale
41,abitazione,"1,5 vani",via imbriani,societ cooperativa sociale arca di novia tertuliano 7020137 milano,4,progetto sociale
42,locale commerciale,3 vani,via jean jaures,associazione arch onlusvia cagliero 2620125 milano,4,progetto sociale
43,abitazione e box di pertinenza,"8,5 vani",viale jenner,gestione direttacomune di milanosettore residenzialit,,progetto sociale
44,abitazione e box di pertinenza,14 mq,viale jenner,gestione direttacomune di milanosettore residenzialit,,progetto sociale
45,abitazione,5 vani,via lambro,"soc. coop. sociale spazio aperto servizi onlusvia gorki, 520146 milanoc.f / p.iva 10860990158",3,progetto sociale
46,abitazione,5 vani,via leoncavallo,fondazione somaschi onlus p.zza xxv aprile 220121 milano,6,progetto sociale
47,negozio,26 mq,via leoncavallo,gestione direttacomune di milano,,progetto sociale
48,abitazione,"2,5 vani",via leoncavallo,associazione di promozione sociale jointvia giovanola 25/c20142 milano,10,progetto sociale
49,abitazione,"2,5 vani",corso lodi,coop. soc. anteo onlusvia f. piacenza n. 1113900 biella bi,3,progetto sociale
50,box,13 mq,corso lodi,coop. soc. anteo onlusvia f. piacenza n. 1113900 biella bi,3,progetto sociale
51,abitazione,"2,5 vani",corso lodi,coop. soc. anteo onlusvia f. piacenza n. 1113900 biella bi,3,progetto sociale
52,box,20 mq,corso lodi,coop. soc. anteo onlusvia f. piacenza n. 1113900 biella bi,3,progetto sociale
53,abitazione,"5, 5 vani",via lombardia,gestione direttacomune di milanosettore residenzialit,,progetto sociale
54,negozio,37 mq,via maderna,gestione direttacomune di milano,,progetto sociale
55,magazzino seminterrato,79 mq,via madre picco a.,associazione centro ambrosiano di solidariet onlusvia marotta n. 820134 milano,6,progetto sociale
56,abitazione,3 vani,viale majno,associazione saman onlusvia bolzano 2620127 milano,3,progetto sociale
57,terreno agricolo,1.793 mq,via martirano/via guascona,cooperativa socialeopera in fiorevia camporgnago 4020141 milano,7,progetto sociale
58,abitazione,"3,5 vani",via meda g.,ass. telefono donnap.zza ospedale maggiore n. 320162 milano,3,progetto sociale
59,uso ufficio,4 vani,via melzi deril,ass. s.o.s. bambinointernational adoption onlusvia monteverdi 2/a36100 vicenza,3,progetto sociale
60,locale commerciale,106 mq,via momigliano,cooperativa zero5 laboratorio di utopie metropolitane via santabbondio 26/c20142 milano,5,progetto sociale
61,abitazione,9 vani,via monte ceneri,societ cooperativa sociale la stradavia giovanni battista piazzetta 220139 milano,6,progetto sociale
62,abitazione,3 vani,via monte santo,consorzio sociale goel societ cooperativa sociale e impresa sociale contrada limina 389042 gioiosa jonica rc,10,progetto sociale
63,abitazione,1 vani,viale monza,"societ cooperativa a r.l. a.c.c.e.s.s.o. agenziastampa di comunicazione per i consumi etici, sociali e solidalivia belgirate 1520125 milano",6,progetto sociale
64,abitazione,5 vani,viale monza,fondazione somaschi onlus p.zza xxv aprile 220121 milano,6,progetto sociale
65,abitazione,1 vani,via mosca,fondazione somaschi onlus p.zza xxv aprile 220121 milano,6,progetto sociale
66,abitazione,"2,5 vani",via oristano,fondazione casa della carit angelo abriani onlusvia brambilla 8/1020128 milano,3,progetto sociale
67,abitazione,"3,5 vani",via oxilia,associazione opera san francescoper i povericorso concordia 320129 milano,10,progetto sociale
68,abitazione,"2,5 vani",via padova,associazione centro ambrosiano di solidariet onlusvia marotta n. 820134 milano,3,progetto sociale
69,abitazione e cantine di pertinenza,"3,5 vani",via padova,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,10,progetto sociale
70,abitazione e cantine di pertinenza,10 mq,via padova,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,10,progetto sociale
71,abitazione e cantine di pertinenza,11 mq,via padova,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,10,progetto sociale
72,abitazione e cantine di pertinenza,12 mq,via padova,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,10,progetto sociale
73,abitazione,1 vano,via padova,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,10,progetto sociale
74,"abitazione, cantina e sottotetto di pertinenza",10 mq,via padova,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,10,progetto sociale
75,"abitazione, cantina e sottotetto di pertinenza",7 mq,via padova,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,10,progetto sociale
76,"abitazione, cantina e sottotetto di pertinenza",116 mq,via padova,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,10,progetto sociale
77,abitazione,"1,5 vani",via parenzo,gestione direttacomune di milanosettore residenzialit,,progetto sociale
78,negozio,21 mq,via paisiello,ass. gruppo volontari onlusvia g. lulli n. 3220131 milano,10,progetto sociale
79,negozio,22 mq,via paisiello,ass. gruppo volontari onlusvia g. lulli n. 3220131 milano,10,progetto sociale
80,cantina,57 mq,via paisiello,ass. gruppo volontari onlusvia g. lulli n. 3220131 milano,10,progetto sociale
81,abitazione,4 vani,via pianell,societ cooperativa sociale farsi prossimo onlusvia san bernardino 420122 milano,10,progetto sociale
82,abitazione,4 vani,via pianell,associazione centro di aiuto alla vita mangiagalli onlusvia della commenda 1220122 milano,10,progetto sociale
83,abitazione,"1,5 vani",via rinuccini,gestione direttacomune di milanosettore residenzialit,,progetto sociale
84,negozio,60 mq,via riva di trento,associazione di promozione sociale jointvia giovanola 25/c20142 milano,3,progetto sociale
85,complesso immobiliare,3 vani,via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
86,complesso immobiliare,3 vani,via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
87,complesso immobiliare,"5,5 vani",via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
88,complesso immobiliare,"5,5 vani",via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
89,complesso immobiliare,"3,5 vani",via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
90,complesso immobiliare,"3,5 vani",via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
91,complesso immobiliare,"3,5 vani",via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
92,complesso immobiliare,"3,5 vani",via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
93,complesso immobiliare,"11,5 vani",via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
94,complesso immobiliare,"6,5 vani",via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
95,complesso immobiliare,"6,5 vani",via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
96,complesso immobiliare,24 mq,via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
97,complesso immobiliare,terreno,via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
98,complesso immobiliare,terreno,via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
99,complesso immobiliare,terreno,via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
100,complesso immobiliare,terreno,via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
101,complesso immobiliare,terreno,via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,in fase di stipula contratto,progetto sociale
102,complesso immobiliare,terreno,via santarialdo,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,,progetto sociale
103,abitazione,6 vani,via santa marcellina,"associazione di volontariato vittime del doverevia correggio, 5920900 monza mbc.f. 94605940157",3,progetto sociale
104,box,17 mq.,via santa marcellina,"associazione di volontariato vittime del doverevia correggio, 5920900 monza mbc.f. 94605940157",3,progetto sociale
105,box,17 mq,via santa marcellina,fondazione somaschi onlus p.zza xxv aprile 220121 milano,6,progetto sociale
106,abitazione,6 vani,viale sarca,fondazione somaschi onlus p.zza xxv aprile 220121 milano,6,progetto sociale
107,abitazione,2 vani,via serio,associazione di volontariato cam centro ausiliario per i problemi minorilivia leopardi 2120123 milano,5,progetto sociale
108,abitazione,3 vani,via serra renato,societ cooperativa sociale comunit progetto a r.l.via soperga 1320127 milano,10,progetto sociale
109,abitazione,"2,5 vani",via sommacampagna,associazione comunit nuova onlus via f. gonin 820147 milano,10,progetto sociale
110,box,22 mq,via torre c.,cooperativa sociale saman lavorovia bolzano 2620127 milano,10,progetto sociale
111,box,13 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
112,box,13 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
113,box,13 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
114,box,13 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
115,box,13 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
116,box,13 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
117,box,13 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
118,box,13 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
119,box,13 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
120,box,23 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
121,box,23 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
122,box,23 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
123,box,19 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
124,box,13 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
125,box,20 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
126,box,13 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
127,box,29 mq,via torre c.,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,10,progetto sociale
128,abitazione,1 vani,via torriani napo,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,10,progetto sociale
129,abitazione,"1,5 vani",via torriani napo,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,10,progetto sociale
130,abitazione e solai di pertinenza,1 vani,via vallazze,associazione papaseparatilombardia onlusvia salvo dacquisto 1220037 paderno dugnano mi,10,progetto sociale
131,abitazione e solai di pertinenza,14 mq,via vallazze,associazione papaseparatilombardia onlusvia salvo dacquisto 1220037 paderno dugnano mi,10,progetto sociale
132,abitazione e solai di pertinenza,1 vani,via vallazze,associazione papaseparatilombardia onlusvia salvo dacquisto 1220037 paderno dugnano mi,10,progetto sociale
133,abitazione e solai di pertinenza,25 mq,via vallazze,associazione papaseparatilombardia onlusvia salvo dacquisto 1220037 paderno dugnano mi,10,progetto sociale
134,abitazione e solai di pertinenza,24 mq,via vallazze,associazione papaseparatilombardia onlusvia salvo dacquisto 1220037 paderno dugnano mi,10,progetto sociale
135,abitazione e solai di pertinenza,1 vani,via vallazze,associazione opera san francescoper i povericorso concordia 320129 milano,10,progetto sociale
136,abitazione e solai di pertinenza,24 mq,via vallazze,associazione opera san francescoper i povericorso concordia 320129 milano,10,progetto sociale
137,"abitazione, cantina e solaio di pertinenza",1 vani,via vallazze,associazione opera san francescoper i povericorso concordia 320129 milano,10,progetto sociale
138,"abitazione, cantina e solaio di pertinenza",10 mq,via vallazze,associazione opera san francescoper i povericorso concordia 320129 milano,10,progetto sociale
139,"abitazione, cantina e solaio di pertinenza",17 mq,via vallazze,associazione opera san francescoper i povericorso concordia 320129 milano,10,progetto sociale
140,abitazione,1 vani,via vallazze,fondazione casa della carit angelo abriani onlusvia brambilla 8/1020128 milano,10,progetto sociale
141,abitazione e solai di pertinenza,"2,5 vani",via vallazze,fondazione casa della carit angelo abriani onlusvia brambilla 8/1020128 milano,10,progetto sociale
142,abitazione e solai di pertinenza,15 mq,via vallazze,fondazione casa della carit angelo abriani onlusvia brambilla 8/1020128 milano,10,progetto sociale
143,abitazione e solai di pertinenza,2 vani,via vallazze,fondazione casa della carit angelo abriani onlusvia brambilla 8/1020128 milano,10,progetto sociale
144,abitazione e solai di pertinenza,13 mq,via vallazze,fondazione casa della carit angelo abriani onlusvia brambilla 8/1020128 milano,10,progetto sociale
145,abitazione e solai di pertinenza,"2,5 vani",via vallazze,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,6,progetto sociale
146,abitazione e solai di pertinenza,10 mq,via vallazze,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,6,progetto sociale
147,abitazione e solai di pertinenza,11 mq,via vallazze,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,6,progetto sociale
148,abitazione e solai di pertinenza,2 vani,via vallazze,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,6,progetto sociale
149,abitazione e solai di pertinenza,6 mq,via vallazze,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,6,progetto sociale
150,abitazione e solai di pertinenza,12 mq,via vallazze,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,6,progetto sociale
151,negozio,22 mq,via vallazze,angel service soc. coop. soc. arl onlusvia vallazze n. 10420131 milano,3,progetto sociale
152,cantina,12 mq,via vallazze,angel service soc. coop. soc. arl onlusvia vallazze n. 10420131 milano,3,progetto sociale
153,appart.,"4,5 vani",via val isorno,cooperativa sociale comunit del giambellinovia bellini gentile 620146 milano,5,progetto sociale
154,autosalone e box di pertinenza,105 mq,via varesina,fondazione exodus onlusvle marotta 18/2020134 milano,5,progetto sociale
155,box,11 mq,via varesina,fondazione exodus onlusvle marotta 18/2020134 milano,5,progetto sociale
156,locale commerciale,21 mq,via venini,associazione laltropallone ads onlusvia angera 320125 milano,4,progetto sociale
